Japanisch;Deutsch;Kanji
ひとつ;ein/-e (zum Zählen von Gegendständen), eins;
ふたつ;zwei (zum Zählen von Gegendständen);
みっつ;drei (zum Zählen von Gegendständen);
よっつ;vier (zum Zählen von Gegendständen);
いつつ;fünf (zum Zählen von Gegendständen);
むっつ;sechs (zum Zählen von Gegendständen);
ななつ;sieben (zum Zählen von Gegendständen);
やっつ;acht (zum Zählen von Gegendständen);
ここのつ;neun (zum Zählen von Gegendständen);
とお;zehn (zum Zählen von Gegendständen);
いくつ;Wie viele (Gegenstände);

ひとり;eine Person;
ふたり;zwei Personen;
さんにん;drei Personen;
よにん;vier Personen;
ごにん;fünf Personen;
ろくにん;sechs Personen;
ななにん;sieben Personen;
はちにん;acht Personen;
きゅうにん;neun Personen;
じゅうにん;zehn Personen;
なんにん;wie viele Personen;何人

~だい;Zähleinheitssuffix für Maschinen, Autos etc.;
~まい;Zähleinheitssuffix für dünne, flache Gegenstände (z.B. Blätter, Briefmarken etc.);
~かい;~ Mal;

いっかい;Erdgeschoss;一階
にかい;erstes Obergeschoss;二階
さんがい;zweite Obergeschoss;三階
よんかい;drittes Obergeschoss;四階
ごかい;viertes Obergeschoss;五階
ちかいっかい;erstes Untergeschoss;地下一階
ちかにかい;zweites Untergeschoss;地下二階
ちかさんがい;drittes Untergeschoss;地下三階
ちかよんかい;viertes Untergeschoss;地下四階
なんがい;welches Stockwerk?;何階

いちばん;Erster (Reihenfolge);一番
にばん;Zweiter (Reihenfolge);二番
さんばん;Dritter (Reihenfolge);三番
よんばん;Vierter (Reihenfolge);四番
なんばん;Fragewort Reihenfolge;何番
