Japanisch;Deutsch
せんしゅう;letzte Woche
こんしゅう;diese Woche
らいしゅう;nächste Woche
せんげつ;letzter Monat
こんげつ;diese Monat
らいげつ;nächste Monat
きょねん;letztes Jahr
ことし;dieses Jahr
らいねん;nächstes jahr

-ねん; Jahr -
なんねん;welches Jahr
-がつ;- Monat
なんがつ;welcher Monat

いちがつ;Januar
にがつ;Februar
さんがつ;März
しがつ;April
ごがつ;Mai
ろくがつ;Juni
しちがつ;Juli
はちがつ;August
くがつ;September
じゅうがつ;Oktober
じゅういちがつ;November
じゅうにがつ;Dezember

ついたち;der 1. des Monats
ふつか;der 2. des Monats
みっか;der 3. des Monats
よっか;der 4. des Monats
いつか;der 5. des Monats
むいか;der 6. des Monats
なのか;der 7. des Monats
ようか;der 8. des Monats
ここのか;der 9. des Monats
とおか;der 10. des Monats
じゅういちにち;der 11. des Monats
じゅうににち;der 12. des Monats
じゅうさんにち;der 13. des Monats
じゅうよっか;der 14. des Monats
じゅうごにち;der 15. des Monats
じゅうろくにち;der 16. des Monats
じゅうしちにち;der 17. des Monats
じゅうはちにち;der 18. des Monats
じゅうくにち;der 19. des Monats
はつか;der 20. des Monats
にじゅういちにち;der 21. des Monats
にじゅうににち;der 22. des Monats
にじゅうさんにち;der 23. des Monats
にじゅうよっか;der 24. des Monats
にじゅうごにち;der 25. des Monats
にじゅうろくにち;der 26. des Monats
にじゅうしちにち;der 27. des Monats
にじゅうはちにち;der 28. des Monats
にじゅうくにち;der 29. des Monats
さんじゅうにち;der 30. des Monats
さんじゅういちにち;der 31. des Monats

なんにち;welcher tag

いちじ;1 Uhr
にじ;2 Uhr
さんじ;3 Uhr
よじ;4 Uhr
ごじ;5 Uhr
ろくじ;6 Uhr
しちじ;7 Uhr
はちじ;8 Uhr
くじ;9 Uhr
しゅうじ;10 Uhr
しゅういちじ;11 Uhr
しゅうにじ;12 Uhr
なんじ;wie viel Uhr

いっぷん;1 Minute
にふん;2 Minuten
さんぷん;3 Minuten
よんぷん;4 Minuten
ごふん;5 Minuten
ろっぷん;6 Minuten
ななふん;7 Minuten
はっぷん;8 Minuten
きゅうふん;9 Minuten
じゅっぷん;10 Minuten
さんじゅっぷん;30 Minuten

-はん;Halb - Uhr

ごぜん;morgens (Uhrzeit)
ごご;nachmittags (Uhrzeit)

にちようび;Sonntag
げつようび;Montag
かようび;Dienstag
すいようび;Mittwoch
もくようび;Donnerstag
きんようび;Freitag
どようび;Samstag
なんようび;Welcher Tag der Woche
